ref,famille,famille_fr,texte
G01,G,Gouvernance,Le produit ou le service technologique doit offrir une interface en français pour ses utilisateurs.
G02,G,Gouvernance,Le produit ou service technologique ne doit pas présenter de la publicité.
I01,I,Interoperabilite,La solution doit supporter l'utilisation d'un service d'authentification externe (protocole LDAP et LDAPS).
I02,I,Interoperabilite,"Votre solution s'appuie sur ou est compatible avec un système d'exploitation, des composantes, et un un système de gestion de base de données récents et en cours de prise en charge par leur fabriquant respectif."
I03,I,Interoperabilite,"Lorsque nécessaire, la solution peut invoquer la librairie cryptographique du poste de travail Windows (ou de la session Citrix/TS) afin d’effectuer les opérations de signature, de hachage et de chiffrement."
I04,I,Interoperabilite,"Pour la gestion de l’identification des usagers, la solution permet d’intégrer l’identification provinciale des usagers au moment de l’accueil des nouveaux usagers. La solution doit permettre d’appeler les services communs provinciaux de gestion de l’identification des usagers (GIU) à partir des critères de recherche permis, au moment de la création d’un dossier afin d’établir les données d’identification de l’usager et d'assurer l’utilisation des données d’identification provinciale au sein de la solution."
I05,I,Interoperabilite,"Pour la gestion de l’identification des usagers, la solution doit permettre d’exploiter les mécanismes d’interaction prévus à cette fin auprès des services provinciaux de gestion de l’identification des usagers, afin d’assurer la mise à jour et de préserver l’intégrité des données d’identification de base des usagers de sorte que ces données permettent de résoudre et d'exploiter le NIU (numéro d’identification unique des usagers) à partir de la solution."
I06,I,Interoperabilite,La solution supporte les transactions et les messages de la norme FHIR et peut également supporter HL7v3 au besoin.
I07,I,Interoperabilite,"La solution dispose de connecteurs de plusieurs technologies. Exemples de connecteurs : - SOAP / XML, - MLLP, JSON; - HTTP / HTTPS; - SMTP; - TCP/IP Sockets; - HL7v3.x, - FHIR"
I08,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet d'inscrire le nom de famille légal de l'utilisateur."
I09,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, permet d’inscrire le prénom légal de l’usager (obligatoire)."
I10,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le sexe de l’usager."
